trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-139.60168362929937,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-127.32519622908035,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,11,-66.6356979698991,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-148.05601712802613,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-161.1342249850797,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-103.90726118014268,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-77.59645884097624,"{0: 25, 1: 0, 2: 9, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-69.3609650101546,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-144.41267970024413,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-67.08168270241127,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-41.30026917788439,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,11,-70.57863715774518,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,11,-37.420179532737826,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,3,-42.06981588882903,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-21.71424189111344,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-24.024616514112203,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-23.03566340054817,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,16,7.381704386685422,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,20,18.976837302117975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,8,33.488511680884315,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,33.57070015755736,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,9,27.80303031864767,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,18.62907304756889,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,12,24.701563404247086,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,8,18.432720914249614,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,8,-1.6271564807876866,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",30,0,0.5585266965722522,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",20,15,8.591153533821343,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,2,28.45978912501767,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,39.340455099929116,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
