trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.97, 'e': 0.97}",25,3,-157.9255723804936,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 2}",1
2,False,"{'a': 0.97, 'e': 0.9409}",30,0,-160.1338386221428,"{0: 15, 1: 2, 2: 11, 3: 1, 4: 1}",0
3,False,"{'a': 0.97, 'e': 0.912673}",30,0,-188.2458494349896,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.97, 'e': 0.8852928099999999}",25,0,-236.59768352963474,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
5,False,"{'a': 0.97, 'e': 0.8587340256999999}",20,0,-80.34469316174422,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
6,False,"{'a': 0.97, 'e': 0.8329720049289998}",30,16,-29.22556588321225,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
7,False,"{'a': 0.97, 'e': 0.8079828447811298}",30,0,-45.45993847274977,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.97, 'e': 0.7837433594376959}",25,0,-152.70947383233786,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.97, 'e': 0.7602310586545651}",25,0,-26.08992093303358,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.97, 'e': 0.7374241268949281}",30,0,-128.65633779657438,"{0: 16, 1: 7, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.97, 'e': 0.7153014030880802}",20,0,-20.69983492765233,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.97, 'e': 0.6938423609954377}",35,11,-68.4752171373838,"{0: 15, 1: 6, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.97, 'e': 0.6730270901655746}",20,15,1.0006020540556642,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.97, 'e': 0.6528362774606074}",30,10,-40.45791727072878,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.97, 'e': 0.6332511891367891}",20,0,-90.39142685746236,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
16,False,"{'a': 0.97, 'e': 0.6142536534626855}",20,0,-129.52476891404058,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
