trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9950124791926823}",25,0,-109.86575929557826,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.005, 'e': 0.9900498337491681}",20,0,-102.24574557000184,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.005, 'e': 0.9851119396030626}",20,0,-114.03137738579389,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9801986733067553}",25,0,-200.91738654576451,"{0: 11, 1: 2, 2: 8, 3: 2, 4: 2}",0
5,False,"{'a': 0.005, 'e': 0.9753099120283326}",20,0,-58.463038444164276,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.005, 'e': 0.9704455335485082}",20,0,-116.45102634840994,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9656054162575665}",20,0,-112.86652586251103,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
8,False,"{'a': 0.005, 'e': 0.9607894391523232}",20,0,-128.90140247579623,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
9,False,"{'a': 0.005, 'e': 0.9559974818331}",20,0,-59.3662154603825,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.005, 'e': 0.951229424500714}",20,0,-101.30609288004868,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
11,False,"{'a': 0.005, 'e': 0.9464851479534838}",20,4,-162.01220487568173,"{0: 7, 1: 0, 2: 5, 3: 2, 4: 2}",1
12,False,"{'a': 0.005, 'e': 0.9417645335842487}",20,0,-79.73812825907305,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
13,False,"{'a': 0.005, 'e': 0.9370674633774034}",20,0,-88.83942715868747,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.005, 'e': 0.9323938199059483}",25,0,-155.97668062949865,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
15,False,"{'a': 0.005, 'e': 0.9277434863285529}",25,0,-162.74811784086228,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.005, 'e': 0.9231163463866358}",20,0,-31.51081346077948,"{0: 14, 1: 5, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.005, 'e': 0.9185122844014574}",25,0,-79.45160144224275,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
18,False,"{'a': 0.005, 'e': 0.9139311852712282}",30,12,-75.80591119874387,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
19,False,"{'a': 0.005, 'e': 0.9093729344682314}",25,0,-203.66017206206632,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
