trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 1.0}",25,0,-115.0192708267905,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.25}",20,0,-77.61211189122447,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.1111111111111111}",20,0,1.7058273153689036,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,False,"{'a': 0.01, 'e': 0.0625}",25,0,-20.29708047153674,"{0: 20, 1: 4, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.04}",20,0,-25.338848517834528,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.01, 'e': 0.027777777777777776}",20,0,-80.91962186891885,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.01, 'e': 0.02040816326530612}",25,13,-8.587651573926301,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.015625}",25,0,-46.39823377538827,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.012345679012345678}",20,0,-30.587248243932276,"{0: 15, 1: 3, 2: 0, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.01}",25,14,10.189156598594257,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.01, 'e': 0.008264462809917356}",20,0,6.233217980840046,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.006944444444444444}",25,2,23.292828973878265,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.005917159763313609}",25,0,-26.43397271538027,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.00510204081632653}",25,0,-62.53834849712986,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.0044444444444444444}",20,0,-6.132080450768768,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.00390625}",20,15,7.956384565303091,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.0034602076124567475}",20,0,12.313599434287342,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.0030864197530864196}",20,0,21.44221911295396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.01, 'e': 0.002770083102493075}",25,0,-54.840330407315285,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.0025}",25,0,-13.657088837145558,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.0022675736961451248}",20,0,7.562816137588719,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
22,False,"{'a': 0.01, 'e': 0.002066115702479339}",35,0,18.63103191910415,"{0: 34, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.001890359168241966}",25,0,32.95021854436813,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.001736111111111111}",30,13,-17.926100084547805,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.01, 'e': 0.0016}",25,0,-28.043805772968877,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.0014792899408284023}",20,16,7.315088645094225,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.0013717421124828533}",35,27,7.862019137708848,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.01, 'e': 0.0012755102040816326}",20,13,8.536299253325316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
