trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-46.85064196786433,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.1855796951775,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.09788139650354,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-141.0084722532438,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-142.84155081889662,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-91.89245624869676,"{0: 15, 1: 0, 2: 9, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,16,5.076903575497804,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.95985088116663,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.51444425161074,"{0: 12, 1: 1, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.8596871291289,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.32152975751701,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-212.6695818775529,"{0: 14, 1: 2, 2: 4, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.73954258704782,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-109.50021361578861,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.2471919926979,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.7516741013173,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.06494193015934,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.40604653109081,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.28567061310614,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-217.25626853796592,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-108.33539467390494,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,6,-101.76785972021244,"{0: 8, 1: 3, 2: 0, 3: 1, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.39955863155609,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.73173376806147,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-95.69502976251765,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-80.94585612979333,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.38613696088782,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-138.66856246093135,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-11.319095104548513,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,5,-87.0730059522834,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 2}",1
